▼Profit,▼Profit.1,Bookmaker,▲▼,Event,Market,Odds,Unnamed: 7,Unnamed: 8
,1.00%  5h,Pin​nacle Football,14/05 23:30,Satsaid – CA Independiente Argentina - Primera Division Women,2,1.729,,
,1.00%  5h,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,
,1.00%  1m,Bet​City Football,14/05 23:30,Columbus Crew II – Orlando City SC II Soccer. USA. MLS Next Pro.,Under 3,2.08,●,
,1.00%  1m,Pin​nacle Football,14/05 23:30,Columbus Crew 2 – Orlando City B USA - MLS Next Pro League,Over 2.75,1.819,○,
,1.00%  1m,Merry​Bet Football,14/05 23:30,Columbus Crew 2 – Orlando City II USA - MLS Next Pro,Over 3.5,2.34,,
,1.00%  1m,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,
,1.00%  3h,Pin​nacle Football,15/05 20:00,Unirea Dej – CSM Politehnica Iasi Romania - Liga 2,AH2(0) 1st period,1.680,●,
,1.00%  3h,22​Bet Football,15/05 20:00,Unirea Dej – Politehnica Iasi [35738] Romania. Liga 2,AH1(+0.25) 1st period,1.71,,
,1.00%  3h,22​Bet Football,15/05 20:00,Unirea Dej – Politehnica Iasi [35738] Romania. Liga 2,1 1st period,5.10,○,
,1.00%  3h,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,
,1.00%  11m,Bet​Victor Football,14/05 16:30,Lamia 1964 U19 – OFI U19 GRE U19 League,Over 1 1st period,2.40,●,
,1.00%  11m,Win​mas​ters Football,14/05 16:30,Lamia U19 – OFI Crete U19 Greece - U19 Super League 2022/2023,Under 1.25 1st period,1.53,,
,1.00%  11m,Pin​nacle Football,14/05 16:30,Lamia – OFI Greece - Super League U19,Under 0.5 1st period,2.610,,
,1.00%  11m,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,
,1.00%  3m,1x​Bet Football,14/05 16:30,Stenungsunds – Yxhults [75229] Sweden. Division 2. Northern Gotaland,AH1(−0.25),1.29,○,
,1.00%  3m,Pin​nacle Football,14/05 16:30,Stenungsunds IF – Yxhults IK Sweden - 2nd Div. Norra Gotaland,X,5.870,,
,1.00%  3m,Bet-at-home Football,14/05 16:30,Stenungsunds IF – Yxhults IK Sweden - 2. Division Norra Gotaland 2023,2 / DNB,7.50,●,
,1.00%  3m,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,
